Region,Eutrophication Potential,Acidification Potential,Particulate Matter Formation Potential,Photochemical Smog Formation Potential,Global Warming Potential,Ozone Depletion Potential,Water Consumption
CAISO,0.057,0.81,0.042,30.1,439,3.00E-06,541
ERCOT,0.095,1.82,0.131,41.7,663,7.60E-06,3328
ISO-NE,0.051,0.67,0.033,18.6,400,6.70E-06,270
MISO,0.085,1.9,0.157,35.4,766,1.50E-05,5855
Northwest,0.045,0.78,0.059,18.8,440,7.30E-06,2070
NYISO,0.05,0.7,0.034,18.5,323,9.80E-07,565
PJM,0.055,1.14,0.116,19.4,578,7.40E-06,1327
Southeast,0.061,1.05,0.101,24.1,583,6.60E-06,-161
Southwest,0.062,1.01,0.074,27.5,604,9.20E-06,2182
SPP,0.072,1.61,0.128,26.5,703,1.50E-05,7838
US,0.065,1.24,0.103,26.3,586,8.60E-06,2334
