scenario,country code,t,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,total_gen_co2_c,total_gen_ch4_c,total_gen_n2o_c,total_gen_co2_p,total_gen_ch4_p,total_gen_n2o_p,total_gen_co2e_c,total_gen_co2e_p,total_gen_co2e,co2_captured_ccs,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,h2-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh,battery_MW,biomass_MW,beccs_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,h2-ct_MW,upv_MW,wind-ofs_MW,wind-ons_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,co2_shadow_price
HighDemandGrowth,US,2050,8713577000,417601900,260855840,79486040,9471522000,8400240034,2964368600,0.0359,0.054,0.1551,123584.47,1809260.1,0.85,0.86,65.9,2.9,0.38,6.9,406.9,0.04,66.1,19.1,85.2,66.5,3,0.4,6.8,403.1,0.04,66.7,18.8,85.5,99.4,3.4,0.43,10.7,662.4,0.05,99.6,30.5,130.1,274.9,12.2,1.64,27.9,1628.7,0.15,275.7,76.4,352.1,624423653,27190.3,3564.6,65643648.6,3853814.5,398.7,626207056.3,180596176.2,806803232.4,0,15.93,20.77,1.43,38.16,17.83,23.98,1.6,43.44,924490900,1024279740,1949769700,9471522000,6507152400,355701200,24286830,0,70765990,160482400,0,0,206202370,1148981200,0,85239400,60912280,291931360,553564300,3625847.2,208877970,0,2697366800,3427768300,175815120,259487.9,4535.5,0,78990.4,0,0,175721.4,409608.3,0,440080.1,8317.8,85694.7,69305,13148,91356.3,0,1411688.4,49381,1088080.8,1155638.2,730850.2,0,0
LowNGPrice,US,2025,4318479400,26411152,28270860,41178180,4414339600,4163226451,3030751500,0.0359,0.054,0.1548,117684.91,984107.4,0.59,0.59,239,17.3,2.43,18.7,1255.9,0.16,240.2,56.2,296.3,251.4,18.1,2.56,19.7,1322,0.17,252.6,59.1,311.8,381.8,26.3,3.74,28.7,1995.4,0.22,383.6,88.2,471.8,585.8,44.9,6.4,40.8,2820.2,0.32,588.8,124.9,713.8,1054963594,76181.8,10748.4,82573305.6,5543960.1,694.1,1060168122,247972816.5,1308140938,0,25.24,23.84,0.76,49.84,26.89,26.1,0.81,53.79,50257268,15487437,65826484,4414342700,1383588000,22439766,35665972,0,72546360,587151740,0,0,73255224,1152574500,0,25644224,20390326,294185100,766009340,31372960,22774630,0,487398050,803891100,19043566,16275.3,6094,0,166557.8,0,0,47977.4,292370.3,0,130629,2749.1,80762.6,95902.6,64101,23052.7,0,198340.9,5420,235974.8,65101.3,184421.6,0,0
LowNGPrice,US,2030,4690646500,72351140,76917210,50577010,4890492000,4522007472,2547126300,0.0359,0.054,0.1548,117741.51,1055650.1,0.75,0.75,117.8,5.9,0.8,12.3,677.1,0.09,118.2,32.5,150.7,126.2,6.3,0.85,13.2,725.6,0.1,126.6,34.8,161.5,147,4.8,0.6,15.7,974.1,0.07,147.3,44.8,192.1,403.6,25.2,3.51,35,2021.2,0.22,405.3,95.2,500.5,576152028.4,28880.5,3900.1,60127689.2,3311245.9,439,578077386.7,158922674.5,737000061.2,0,17.21,22.23,0.44,39.89,18.57,24.76,0.46,43.8,145234560,73220430,218514820,4890492400,2343366000,61496960,31918764,0,87646216,188754510,0,0,139748510,977586050,0,25535416,33159572,299053440,766009340,14276018,61690324,0,754117600,1343793400,105706350,43798.9,5571.6,0,140595.5,0,0,97797.6,311581.2,0,134463.3,4460.9,84060,95902.6,53568.1,34985.9,0,322056.8,28779,395930.8,175195.5,279887,0,0
LowNGPrice,US,2035,5274484700,137979100,130262340,54589576,5597315600,5084848575,2435801000,0.0359,0.054,0.1548,118149.67,1164088.7,0.81,0.81,90.2,4.7,0.64,9.3,509.9,0.07,90.5,24.5,115,97.8,5.1,0.69,10,552.3,0.08,98.1,26.5,124.7,144.1,5.3,0.68,14.8,926,0.07,144.5,42.5,186.9,353.8,22.5,3.14,30.4,1748.4,0.19,355.4,82.5,437.9,504967073.2,26392,3577.3,51941519.3,2854248.8,389.4,506730171.9,137104434.3,643834606.2,0,15.34,21.34,0.82,37.57,16.76,24.15,0.85,41.81,306202900,201855120,508121540,5597315600,3161514800,117351190,26172740,0,80518776,177875000,0,0,180986460,834946800,0,25628614,51508870,291370080,716878460,9159139,104391450,0,1145715100,1667757300,167055870,86155.8,4791.5,0,131967.1,0,0,132969.3,323932,0,153202.5,6925.4,84498.3,89751.5,45897.8,52260.2,0,518613.2,47081,514960.3,344623.3,418081.9,0,0
LowNGPrice,US,2040,5832428500,204702420,152658690,58590616,6248380400,5622730323,2499443200,0.0359,0.054,0.1548,119991.09,1293440.4,0.82,0.82,84,4.3,0.58,8.6,483.7,0.06,84.3,23,107.3,88.1,4.6,0.62,8.9,503.5,0.06,88.4,23.9,112.3,113.7,4.1,0.52,11.8,745.2,0.05,114,34,148,327,19.3,2.67,29,1702.7,0.17,328.3,79.8,408.1,524855276.8,26772.8,3602.6,53432121.6,3022461.3,375,526636602.7,143603853.6,670240456.3,0,15.42,21.55,1.35,38.39,17.01,24.63,1.44,43.14,458089570,316938430,775157950,6248380400,3748937200,174165310,24698856,0,73641770,179276600,0,0,190957420,896646660,0,32800992,54847244,293340740,644090300,3623040.5,122311630,0,1403153000,1978380300,176446640,132634.6,4591.4,0,125516.7,0,0,145636.4,346541.1,0,224071.1,7382.6,84810.9,80638.6,32576.8,59039,0,655293.5,49381,619124.4,533753.8,472311.8,0,0
LowNGPrice,US,2045,6365363700,283794900,199865310,61045880,6910070000,6136506624,2566385200,0.0359,0.054,0.1548,125693.52,1426573.8,0.83,0.83,76.2,3.4,0.45,8,463.4,0.05,76.4,21.9,98.3,79.7,3.7,0.49,8.3,479.7,0.05,80,22.6,102.6,100.1,3.7,0.46,10.7,656,0.06,100.4,30.3,130.7,305.4,16.6,2.28,27.7,1661.5,0.16,306.5,77.3,383.8,526398217.4,23789.1,3139,55466517.4,3202286.8,355.2,527964081.3,150991645,678955726.3,0,14.03,22.59,0.82,37.46,15.64,26.17,0.91,42.75,623371400,546990460,1170762800,6910070000,4343684600,241550130,23484242,0,73473080,147284770,0,0,196954180,966164800,0,50506840,58930060,284904600,556983200,3027898.2,160075700,0,1744914800,2224687900,177127570,189218.7,4426.5,0,109075.2,0,0,159192.5,347457,0,313819.6,7968.1,85236.9,69733,25463.3,73014.1,0,865099.9,49381,717301.8,764196,584112.6,0,0
LowNGPrice,US,2050,6841762300,442944500,204681580,63029690,7552419000,6595782975,2637789700,0.0359,0.054,0.1549,122699.29,1557062.5,0.84,0.84,68,2.3,0.29,7.7,453,0.04,68.1,21.2,89.3,70.4,2.5,0.31,7.9,466,0.04,70.5,21.8,92.3,105.7,3.8,0.48,11.1,696.6,0.05,106,31.8,137.8,291.6,13.6,1.83,28.7,1702.1,0.16,292.5,79.5,371.9,513214142.1,17738,2220.2,58017183,3420927.2,320.8,514348850.5,160048381.9,674397232.5,0,13.77,21.95,1.09,36.83,15.55,25.88,1.22,42.68,747786940,828391600,1576415100,7552419000,4914628600,377236100,23209500,0,72020810,84240024,0,0,210511950,1064011140,0,73516780,61212116,289547170,425030340,3857605.5,163908080,0,2133683800,2391488800,178943970,267990.7,4389.2,0,78692.8,0,0,175721.4,361905.1,0,403422.6,8252,85529.1,53212.8,13062.3,73081.3,0,1117339.5,49381,777374.4,1207493.9,584650.4,0,0
HighNGPrice,US,2025,4318479400,30749254,47624680,46511010,4443364400,4163226485,2941547500,0.0359,0.054,0.1547,121071.31,984107.4,0.62,0.61,277.7,25.8,3.7,16,1057.6,0.17,279.5,47.6,327.1,293.3,27.2,3.91,17,1119.2,0.18,295.2,50.4,345.6,328.5,17.6,2.42,28.9,2145.6,0.17,329.7,92.9,422.6,672.2,60.7,8.72,38.6,2622.4,0.36,676.4,116.8,793.2,1233805129,114667.3,16457.3,71306153.7,4699318.2,763,1241715055,211554130.9,1453269186,0,34.74,24.15,0.43,59.31,37.08,26.6,0.45,64.13,58124172,21832360,80079330,4443365000,1501816800,26130754,35665972,0,72143000,950966800,0,0,72835224,712609500,0,18217438,20349314,291128930,766009340,10070451,38256380,0,566561700,843047300,19372588,17915,6094,0,173219.2,0,0,47977.4,288472.4,0,116398.2,2749.1,80762.6,95902.6,63290.3,23052.7,0,232486.7,5518.5,248935.6,71659.9,184421.6,0,0
HighNGPrice,US,2030,4690647000,92701560,82574860,54554292,4920477700,4522007881,2280951000,0.0359,0.054,0.1548,120934.9,1055650.1,0.81,0.81,128.4,11.4,1.63,8.6,467.6,0.09,129.2,22.6,151.8,138.1,12.3,1.76,9.3,503.9,0.1,138.9,24.3,163.2,209.1,14.6,2.05,15.1,972.1,0.1,210.1,44.1,254.1,512.7,48.2,6.93,28.2,1698.7,0.27,516,78.9,594.9,631620546.2,56257,8043.2,42511210.3,2300988.9,463.1,635492809.7,111207112.8,746699922.5,0,20.57,22.37,0.21,43.16,22.23,25.02,0.23,47.48,175457810,97409256,273032420,4920477700,2639527000,78839280,31921052,0,88447130,466987000,0,0,139375310,425606000,0,18730680,43662880,291375970,766009340,3150411.2,66221236,0,869469300,1524463700,106218660,56393.8,5572,0,146087.5,0,0,97797.6,290375,0,126767.4,5885.5,84352.1,95902.6,54137.6,35535.7,0,379028.4,28779,455578.8,225575.3,284285.9,0,0
HighNGPrice,US,2035,5274483000,168209200,143977740,58164450,5644834300,5084846998,2147703300,0.0359,0.054,0.1547,114283.8,1164088.7,0.87,0.87,90.1,8.2,1.18,6.1,317,0.07,90.6,15.5,106.2,98.6,9,1.29,6.6,346.6,0.08,99.2,17,116.2,134,9.7,1.37,9.7,600.7,0.07,134.6,27.7,162.3,401.2,35.4,5.07,24.2,1450.9,0.21,403.7,67.5,471.2,508455951.6,46424.8,6651.8,34260924.4,1789262.2,398.2,511655360.9,87689643.5,599345004.3,0,19.34,20.29,0.61,40.29,21.17,23.11,0.63,44.96,377430940,246657070,624276540,5644834300,3497131300,143155360,26175026,0,79771100,387355520,0,0,180356900,309756130,0,15835709,51718796,279043040,736421760,3128135.8,115342640,0,1247806000,1903159000,165809340,111179.9,4791.9,0,137459.1,0,0,132969.3,290702.6,0,134769.6,6970.4,84690.2,92198.3,46230.8,57046.3,0,579282.6,47081,603490.1,444719.4,456370.6,0,0
HighNGPrice,US,2040,5832429000,237448370,218676000,60738816,6349292000,5622730625,2160189700,0.0359,0.054,0.1546,125240.4,1293440.4,0.9,0.9,69.9,6.2,0.89,5,255,0.06,70.4,12.6,82.9,75.3,6.8,0.97,5.2,270.8,0.06,75.8,13.3,89.1,119.2,8.5,1.2,8.7,546,0.06,119.8,25,144.8,339,27.6,3.92,22.4,1352.8,0.18,340.9,62.8,403.7,444012717.6,39630.8,5665.3,31433049.9,1619344.8,360.4,446740355.2,79787908.8,526528264,0,18.8,21.9,0.95,41.72,20.88,25.38,1.03,47.36,619816400,415403500,1035525250,6349292000,4189102600,202256270,24709852,0,73146100,328979070,0,0,191797140,293510530,0,17892930,54670028,271143550,717205250,1501425,175174660,0,1562364400,2260674600,174266400,163353,4592.9,0,128751.5,0,0,145636.4,294308.8,0,191980,7382.6,85011.4,89792.4,32930.6,87730.8,0,759868.7,49381,743495.1,660450.8,701846,0,0
HighNGPrice,US,2045,6365363700,347941000,255582160,63904332,7032792000,6136506815,2187088600,0.0359,0.054,0.1546,126483.13,1426573.8,0.91,0.91,56.6,4.7,0.66,4.4,227.3,0.05,56.9,11.1,68,60.8,5.2,0.73,4.5,236.8,0.05,61.2,11.6,72.7,92.7,5.9,0.82,7.4,464.1,0.05,93.1,21.3,114.4,285.3,20,2.82,22,1308.3,0.15,286.7,61,347.7,397752555.4,32868.7,4667.9,30610194.1,1598696.7,322.3,400006389.3,78339351.1,478345740.4,0,17.75,21.99,0.68,40.45,19.98,25.89,0.77,46.67,826455600,698853500,1525633300,7032792000,4845702700,296468740,23495238,0,73622110,266314960,0,0,202769940,327215600,0,23448732,57739550,262803500,650179800,1064621,204735710,0,1933836000,2533528800,175567870,231913.6,4428,0,110772,0,0,159192.5,292949.6,0,270890.1,7797.5,85310.7,81401,25880,100169.9,0,1006510.6,49381,859950,990002.2,801359.6,0,0
HighNGPrice,US,2050,6841762300,442424770,261434540,65154570,7610776000,6595782989,2248763600,0.0359,0.054,0.1546,126087.33,1557062.5,0.92,0.92,45.9,3.1,0.44,4.2,220.6,0.04,46.1,10.8,56.9,48.3,3.4,0.48,4.3,224.2,0.04,48.5,10.9,59.4,78.5,3.7,0.49,7.5,468.5,0.04,78.7,21.4,100.1,249.6,14.8,2.05,21.8,1292.9,0.13,250.6,60.4,310.9,349371040.3,23941.3,3340,31837889.7,1678953.1,289.5,350996312.2,81949733,432946045.2,0,18.05,22.07,1.11,41.28,20.52,26.19,1.26,48.02,982891650,1080482600,2063860700,7610776000,5362012700,376980380,23220496,0,75228904,180015940,0,0,218277330,413404260,0,32895156,59548344,262653340,614029900,1319473.2,209467520,0,2244443000,2721416700,177875500,280977.1,4390.7,0,80451.2,0,0,175721.4,349857.3,0,323524.2,8063.2,85581.9,76875.1,13206.5,100169.9,0,1266151.6,49381,938644.9,1255520.6,801359.6,0,0
Decarb95by2050,US,2025,4295528400,27252170,30361516,42220948,4395363000,4141099178,2966181600,0.0359,0.054,0.1548,118951.48,984107.4,0.61,0.6,251.2,19.8,2.82,18.1,1188.8,0.17,252.6,53.5,306.1,264.4,20.9,2.97,19,1252.5,0.18,265.8,56.4,322.2,429.6,29.4,4.18,32.5,2254,0.25,431.6,99.7,531.3,598.1,47,6.71,42,2787,0.34,601.4,125.2,726.6,1104242152,87182.7,12410.6,79433349.9,5225396,730.8,1110228290,235349659.7,1345577950,0,35.74,24.03,0.56,60.33,38.15,26.33,0.6,65.08,53591870,19180382,72876200,4395365000,1429181300,23151396,35665972,0,72680420,689899700,0,0,73148740,954381950,0,50866976,20368162,293083800,766009340,35644960,24430816,0,525243330,811826800,18962516,16899.5,6094,0,168312,0,0,47977.4,291213.4,0,123172.9,2749.1,80762.6,95902.6,65608.7,23052.7,0,214753.8,5400.6,238587,67598,184421.6,0,0
Decarb95by2050,US,2030,4688359400,77920430,80466210,50799744,4897545700,4519801987,2493217800,0.0359,0.054,0.1548,119004.5,1055650.1,0.77,0.76,109.1,7.6,1.05,11.6,639.4,0.09,109.6,30.7,140.4,117.1,8.1,1.12,12.5,686.6,0.1,117.7,33,150.7,166.7,6.6,0.87,17,1031.2,0.09,167.1,47.7,214.8,404.2,26.7,3.73,34.3,1942.6,0.22,406,92.3,498.3,534471638,37063.2,5129.6,57027441.8,3131252.7,457.1,536976503.2,150463555.2,687440058.5,60075948.1,18.47,22.36,0.4,41.24,19.96,24.94,0.43,45.34,154543620,75800830,230400770,4897545700,2404328000,66233590,31918772,0,87675810,188939200,61999240,0,139764240,846959400,0,29589782,37370044,298268400,766009340,13707096,64547144,0,769584600,1386649600,108329520,47366.7,5571.6,0,132479.2,8808.1,0,97797.6,306237,0,133088.7,5025.8,84152.5,95902.6,54698.6,36468.9,0,329535.7,28779,409446.8,189466.7,291751,0,0
Decarb95by2050,US,2035,5272404000,139653220,133339370,54714424,5600111000,5082842290,2364564700,0.0359,0.054,0.1547,119476.88,1164088.7,0.83,0.82,73.7,7.4,1.04,8.7,477.7,0.08,74.2,23,97.2,78.9,8,1.13,9.2,506.7,0.08,79.5,24.4,103.8,120.7,8.6,1.17,13.9,872.6,0.08,121.3,39.9,161.2,341,23.1,3.24,28.1,1602,0.19,342.6,75.9,418.5,412763975.3,41468.2,5825.2,48745267,2675288.4,432.7,415590008,128586985.9,544176993.9,140589970.4,16.52,21.5,0.39,38.43,18.05,24.34,0.4,42.81,348781340,221847900,570723260,5600111600,3235546000,118771790,26172744,0,80244520,155154290,128015790,0,179744910,612233540,39883780,29674476,47693828,284178800,726879200,8800919,106861520,0,1147845500,1738870400,169085280,88340,4791.5,0,113859.4,17754.5,0,132969.3,316128.3,5362.9,144962.3,6417.2,84490.9,91003.6,46383.7,55070.3,0,529252.6,47081,546976.4,353359.8,440562.1,0,0
Decarb95by2050,US,2040,5855510500,199507500,184347020,57770456,6297135000,5644982123,2415803100,0.0359,0.054,0.1547,120874.2,1293440.4,0.85,0.85,63.6,6.4,0.9,7.6,425.2,0.07,64,20.3,84.3,65.1,6.9,0.97,7.6,426.5,0.07,65.6,20.3,85.9,113.4,5.3,0.71,11.1,674.5,0.07,113.7,31.2,145,271.8,16,2.21,26.5,1419.7,0.16,272.9,68.9,341.8,400548507.7,40387,5653.4,47918696.6,2677555.1,411.3,403295426.6,127822116.5,531117543.1,142492411.1,22.96,21.59,1.37,45.98,25.29,24.74,1.48,51.56,534181980,347350430,881671900,6297135600,3881332000,169863100,24698856,0,74137144,143843940,130265100,0,190995360,625570300,40056796,32139676,54835468,281186270,688072450,2820443.2,147717440,596754.9,1452427000,2060411300,177498370,132512.1,4591.4,0,106591.2,17997.5,0,145636.4,325981.3,5362.9,199976.5,7382.6,84842.5,86607.6,33072.3,74276.7,12331.2,690161,49381,661080.6,530048.3,594213.6,0,0
Decarb95by2050,US,2045,6389935600,231511630,196407570,60574296,6878429000,6160195434,2380009500,0.0359,0.054,0.1547,121949.35,1426573.8,0.86,0.87,52.2,3.5,0.47,7,388.8,0.05,52.4,18.6,71,52,3.7,0.5,6.7,371.7,0.05,52.2,17.8,70,62,2.1,0.25,7.7,488.5,0.03,62.1,22.2,84.3,180.2,7.3,0.96,27.8,1162.5,0.13,180.7,62.4,243.1,358853525.4,23912.4,3217.6,47893110,2674031.9,346.3,360444518.7,127673793.9,488118312.5,89301335.4,40.58,21.91,1.07,63.6,44.86,25.16,1.18,71.23,759477570,606886700,1366545900,6878429000,4498419700,197197360,23484242,1792636.2,72227100,67238650,71336090,0,198270720,691021760,47552616,63164680,56243690,277648800,651463600,1386027.6,157414300,837850.4,1749758600,2373313300,177077390,153401.7,4426.5,243.8,100903.5,9665.6,0,159192.5,325704.8,6662.5,312854.6,7577.6,85087.8,82052.9,26007.1,74538.8,13182.8,898199.8,49381,792254.6,613606.8,596310,0,11.6
Decarb95by2050,US,2050,6989994500,423343170,180811380,68037336,7662185500,6738687707,2168501200,0.0359,0.054,0.1546,137192.54,1557062.5,0.93,0.94,16.1,1.1,0.14,4.1,204.1,0.03,16.2,10.2,26.4,15.1,1.1,0.14,3.7,178.2,0.03,15.2,9,24.1,40.6,1.9,0.21,8.6,530.1,0.03,40.7,24.4,65.2,67.3,6.4,0.85,19.4,883.7,0.09,67.7,45.8,113.5,123633598.2,8449,1063.7,31113566.8,1563842.5,237,124175769.5,77780777.1,201956546.7,110854146.7,32.46,23.89,0.4,56.78,36.34,27.89,0.45,64.7,1115001200,1004052860,2119143700,7662185500,5493684000,361012260,23209500,15705922,72624580,409374,33051910,0,213571170,338170720,158874910,15460717,58225750,270017280,635015300,173159.4,145018780,41531236,2158940400,2941659400,179513600,282528.1,4389.2,4045.1,4546.7,16290.6,0,175721.4,340516.5,41028.4,283760,7830.9,85323.7,79948.8,11109.2,74538.8,82512,1204364.1,49381,1036626.1,1221407.9,596310,0,225.4
Decarb100by2035,US,2025,4303816000,27063388,29819484,42062630,4402761700,4149090024,2975482000,0.0359,0.054,0.1548,118994.91,984107.4,0.6,0.6,250.1,19.4,2.76,18.4,1204.1,0.17,251.4,54.3,305.7,263.2,20.4,2.9,19.4,1268.3,0.18,264.6,57.2,321.8,349.1,19.8,2.8,30.3,2083,0.22,350.5,92.5,442.9,591.1,44.7,6.38,43.4,2860.7,0.34,594.2,128.7,722.9,1101141784,85307.6,12139.4,80888825.7,5301230.8,737.8,1106998011,239066914,1346064925,0,35.74,24.01,0.56,60.32,38.15,26.31,0.6,65.06,54446010,20296834,74870040,4402763000,1427279900,23018256,35665972,0,72529160,669949100,0,0,72923016,968440300,0,60534196,20344910,293225200,766009340,41642852,24123684,0,524419330,810987000,18950554,16899.4,6094,0,168312,0,0,47977.4,291213.5,0,123152.8,2749.1,80762.6,95902.6,65659.1,23052.7,0,214758,5400.6,238586.9,67597.8,184421.6,0,0
Decarb100by2035,US,2030,4683804700,76906010,78428664,50471280,4889611000,4515411237,2478542600,0.0359,0.054,0.1548,119046.73,1055650.1,0.77,0.76,102.1,6.3,0.86,11.8,645.3,0.09,102.5,31.1,133.6,109.5,6.8,0.92,12.7,692.5,0.1,110,33.4,143.3,163,6.3,0.82,16.6,1042.1,0.08,163.4,47.7,211.1,265.3,7.1,0.85,38.2,1854.3,0.17,265.8,93.5,359.3,499170779.7,30857.5,4216.1,57855116.6,3155508.5,442.6,501241325.4,152010113.7,653251439.1,60075948.1,26.33,22.37,0.35,49.06,28.46,24.94,0.38,53.79,153097140,70355030,223507920,4889611000,2411068200,65433310,31918772,0,87771416,131547970,61311744,0,140658140,877185900,0,41155396,37390256,298966850,766009340,16744237,63107464,0,774158660,1387813100,108438190,47392.7,5571.6,0,132479.2,8808.1,0,97797.6,306311.9,0,132967.1,5028.4,84152.5,95902.6,54745.8,36453.5,0,329519.2,28779,409396.2,189570.7,291628.2,0,0
Decarb100by2035,US,2035,5477598000,168694110,143846340,52072910,5842212000,5280666695,2395411000,0.0359,0.054,0.1549,154154.28,1164088.7,0.87,0.86,-0.4,2.7,0.35,8.1,397.1,0.06,-0.2,19.9,19.7,-0.6,2.9,0.38,8.7,423.6,0.06,-0.4,21.3,20.9,0,0,0,0,0,0,0,0,0,43.7,0.9,0.11,10.6,315.5,0.05,43.8,20,63.8,-2422515.1,15757.1,2062,47237223.8,2320028.7,343.3,-1390037.1,116467802.3,115077765.2,319249382.4,41.15,26.69,0,67.85,44.83,30.25,0,75.08,503757120,314681570,818771400,5842212000,3446801000,143679730,26202944,97749310,76493170,0,72682020,0,180131420,157080590,542706400,10242804,50606564,252604320,756224800,4326269.5,115066560,89745360,1198461800,1913252100,154955470,115895,4795.6,13970.3,0,10496.1,0,132969.3,295260.9,74780.2,50346.5,6841.5,84623.2,94677.6,24403,76774.5,121220.2,586018.4,47081,635442.1,492691.4,614195.8,0,376.1
Decarb100by2035,US,2040,6076731400,228138200,173115420,55113332,6533098000,5858262131,2490610400,0.0359,0.054,0.1548,158852.23,1293440.4,0.88,0.89,0.1,2.3,0.3,7,342.7,0.05,0.3,17.3,17.5,-0.4,2.5,0.33,7,342.2,0.05,-0.2,17.2,17,0,0,0,0,0,0,0,0,0,31.4,0.8,0.1,9.6,267.7,0.05,31.5,17.6,49.1,801511.1,15102.2,1978.1,46024959.2,2238892.4,340.2,1791578.2,112836836.7,114628414.8,324666690.6,39.65,27.31,0.43,67.43,43.54,31.2,0.47,75.24,706295500,461039420,1167682800,6533102600,4042487800,194541490,24729056,95557150,74770340,0,69019190,0,192540160,137676640,516016060,24509160,54338740,251828350,761121860,5959079,139331310,141216110,1440293400,2239705000,169949310,164784.3,4595.5,13978.8,0,10504.4,0,145636.4,318539.5,75655.7,49618.8,7351.8,84909.3,96942.6,13508.6,89753.3,154745,729391,49381,758614.1,712682.6,718026.2,0,265.2
Decarb100by2035,US,2045,6698762000,274901860,180004510,57498028,7211166700,6457926839,2595079000,0.0359,0.054,0.1548,153567.69,1426573.8,0.89,0.91,0.8,2.1,0.28,6.5,324.9,0.05,1,16.2,17.2,-0.2,2.2,0.29,6,292,0.05,0,14.7,14.6,0,0,0,0,0,0,0,0,0,48.5,1.4,0.14,11.4,540.1,0.05,48.6,27.5,76.1,6025307.9,15282.5,1989.3,47111951.5,2342573,340.2,7023817.7,117013509.6,124037327.3,288608199.4,41.04,26.67,0.64,68.39,45.35,30.54,0.7,76.63,1078541300,718314560,1797183200,7211166700,4616088000,234339740,23514442,88570170,74022056,0,68768504,0,203542430,146411090,553299300,19913684,55808468,252862180,752828500,4400235,144646110,175694600,1687927000,2552647700,171970560,197994.4,4430.6,13989.7,0,10516,0,159192.5,345622.2,82737.1,42934.8,7546.8,85166.8,95837.2,11307.7,89870.2,197132.2,919953.9,49381,926996.7,858353.6,718961.4,0,256.7
Decarb100by2035,US,2050,7224683500,422139650,213448420,69620620,7929892000,6964945950,2368269800,0.0359,0.054,0.1547,145924.72,1557062.5,0.93,0.95,1.3,0.9,0.1,4.2,193.8,0.03,1.4,9.9,11.3,0.5,0.8,0.1,3.7,164.5,0.03,0.5,8.6,9.1,0,0,0,0,0,0,0,0,0,43,5.6,0.75,15.8,737.5,0.08,43.3,37.8,81.1,10403558.6,6801.1,826.2,33012043.9,1536536.8,248.8,10831789,78868776.9,89700565.9,223435746.6,35.24,25.13,0.5,60.89,39.47,29.38,0.56,69.41,1025030800,1099560300,2124694300,7929896000,5561622000,359570460,23239700,66636936,73893320,0,22071972,0,211164480,146156050,340342460,12288010,57944396,276194720,678329900,1352446.5,171029820,139223680,2243553000,2927534300,179370580,266073.2,4393.3,13989.7,1203.5,10516,0,175721.4,372147.5,89153.5,41784.3,7800.1,85420.6,85989.3,6564.4,89870.2,219652.4,1275233.8,49381,1006736.1,1182814.6,718961.4,0,234.9
