Country,Country code,Technology Type,Qty,Unit,EP,AP,PMFP,POCP,GWP,ODP,Water Consumption,CO2,N2O,CH4
United States,US,Biomass,1,MWh,0.260236732,4.412803679,0.224928543,142.9542531,1204.537342,6.93E-05,35.33011677,1186.756967,0.036009202,0.289130253
United States,US,Coal,1,MWh,0.076150909,2.218111025,0.252595116,31.31666729,1135.9604,2.39E-05,8140.652731,1092.281681,0.017922095,1.383370705
United States,US,Natural gas,1,MWh,0.090653341,1.251205831,0.047961087,42.02542677,613.1764096,1.95E-06,595.8023245,564.9386741,0.00215571,1.698180748
United States,US,Geothermal,1,MWh,0.003399124,0.380780461,0.010595589,0.464832332,114.6469589,9.88E-12,127.2580464,91.135572,2.17E-05,0.839201124
United States,US,Hydro,1,MWh,0.000187881,0.002626458,0.004154294,0.034237968,12.61234967,1.87E-09,0.57447473,11.2628976,5.96E-07,0.048181092
United States,US,Mixed,1,MWh,0.100778572,2.796027296,0.226257766,45.06477063,1095.115265,1.81E-05,-7286.616702,1053.889313,0.017538988,1.299582478
United States,US,Nuclear,1,MWh,0.022375941,0.249427192,0.013866432,2.113510785,18.51071199,4.59E-09,797.4427824,13.50312772,0.000821665,0.158850881
United States,US,Other fossil,1,MWh,0.335855236,5.354960223,0.080517104,182.9182971,995.9118929,3.70E-08,0.273368103,993.745432,0.002274759,0.055838478
United States,US,Petroleum,1,MWh,0.226100802,6.37228024,0.469947584,100.0890179,1139.142397,6.22E-06,427.0070713,1095.928538,0.009741902,1.434661885
United States,US,Other fuels,1,MWh,0.413224756,8.58935714,3.157516133,159.7313288,1.208094426,2.68E-10,-0.020104127,1.159454465,1.01E-05,0.001638695
United States,US,Solar,1,MWh,0.006918836,0.099925645,0.020229546,1.137314623,21.94940694,4.81E-07,-0.021279652,20.16429546,7.07E-05,0.048793288
United States,US,Solar thermal,1,MWh,0.075825729,0.516436661,0.011195935,636.3978219,83.77126618,7.14E-09,-4938.93206,79.582183,0.000145732,0.148184553
United States,US,Wind,1,MWh,0.054490286,0.104954412,0.022177511,1.481049832,28.97837059,1.55E-08,0.429207152,27.1151767,9.93E-05,0.063005611
United States,US,SCPC,1,MWh,0.043856614,1.010166074,0.128148101,13.92960204,928.2869648,2.60E-08,8755.599324,857.7413221,0,0
United States,US,SCPC w/ CCS,1,MWh,0.053011447,0.819383785,0.121063573,16.59937394,263.8546183,3.19E-08,15855.39393,173.9909401,0,0
United States,US,SubPC,1,MWh,0.046209357,1.060610584,0.133571182,14.69241442,968.7177845,2.69E-08,9258.948091,895.1006088,0,0
United States,US,SubPC w/ CCS,1,MWh,0.054881394,0.848040756,0.126070639,17.16281529,274.9861403,3.30E-08,16673.35582,181.3228245,0,0
United States,US,NGCC,1,MWh,0.028420158,0.416646915,0.006201376,14.60674905,452.1284518,3.86E-09,3129.39822,400.0138564,0,0
United States,US,NGCC w/ CCS,1,MWh,0.03236315,0.473764011,0.009040957,16.53054744,137.5310818,4.58E-09,5364.152308,78.20953266,0,0
United States,US,OxyPC w/ CCS,1,MWh,0.051200164,0.787629632,0.137914561,15.90570139,252.3704318,3.38E-08,14672.90491,155.8365371,0,0
United States,US,SOFC Coal Conventional Gasifier w/ CCS,1,MWh,0.018278435,0.271976837,0.05208686,4.865298643,122.7153613,3.63E-08,5900.624468,58.2563225,0,0
United States,US,SOFC NG w/ CCS,1,MWh,0.023526536,0.351914889,0.011296759,11.7744579,82.96646504,3.23E-09,4616.331852,39.65853636,0,0
United States,US,SubPC w/ CCS w/ NG Aux,1,MWh,0.065132112,1.191518844,1.748947194,23.05450331,418.0787562,1.27E-05,14070.44006,353.8469728,0,0
