State,Total Precipitation,100 yr Mean Annual Precipition (1901-2000),Precipitation Unit
Alabama,52.06,55.5,in
Arizona,8.56,12.59,in
Arkansas,51.26,49.62,in
California,22.39,22.4,in
Colorado,18.8,18.1,in
Connecticut,45.92,46.86,in
Delaware,33.2,43.29,in
Florida,55.88,53.86,in
Georgia,53.4,50.23,in
Idaho,21.12,23.9,in
Illinois,37.77,37.42,in
Indiana,39.33,39.67,in
Iowa,35.52,32.15,in
Kansas,26.96,27.08,in
Kentucky,49.76,46.95,in
Louisiana,66.51,57.05,in
Maine,40.92,42.03,in
Maryland,35.02,42.54,in
Massachusetts,42.45,44.61,in
Michigan,33.18,31.13,in
Minnesota,29.38,25.98,in
Mississippi,53.57,55.68,in
Missouri,42.19,40.53,in
Montana,17.11,18.67,in
Nebraska,21.99,22.66,in
Nevada,8.16,10.29,in
New Hampshire,41.7,43.43,in
New Jersey,37.14,44.93,in
New Mexico,12.28,14,in
New York,41.21,40.23,in
North Carolina,49.34,49.38,in
North Dakota,18.56,17.31,in
Ohio,34.97,38.22,in
Oklahoma,35.31,33.8,in
Oregon,31.9,32.26,in
Pennsylvania,40.4,41.94,in
Rhode Island,50.31,45.12,in
South Carolina,49.9,48.02,in
South Dakota,18.91,19.08,in
Tennessee,50.04,51.73,in
Texas,27.88,27.14,in
Utah,11.69,13.52,in
Vermont,43.58,41.67,in
Virginia,41.95,42.94,in
Washington,37.46,42.15,in
West Virginia,40.03,44.63,in
Wisconsin,36.01,31.32,in
Wyoming,13.38,15.93,in
